kelas,subject,date,time_start,time_end
XI - B,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
XI - B,Pendidikan Pancasila,2025-12-8,09:30,11:00
XI - B,Bahasa Indonesia,2025-12-8,11:30,13:00
XI - B,Matematika,2025-12-9,07:30,09:00
XI - B,Bahasa Inggris,2025-12-9,09:30,11:00
XI - B,Penjasorkes,2025-12-9,11:30,13:00
XI - B,Biologi,2025-12-10,07:30,09:00
XI - B,Sejarah,2025-12-10,09:30,11:00
XI - B,Matematika Tingkat Lanjut,2025-12-10,11:30,13:00
XI - B,Prakarya dan Kewirausahaan,2025-12-11,07:30,09:00
XI - B,Bahasa Sunda,2025-12-11,09:30,11:00
XI - B,Kimia,2025-12-11,11:30,13:00
XI - B,Sejarah Tingkat Lanjut,2025-12-12,07:30,09:00
XI - B,Seni Budaya (Musik),2025-12-12,09:30,11:00
XI - C,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
XI - C,Pendidikan Pancasila,2025-12-8,09:30,11:00
XI - C,Bahasa Indonesia,2025-12-8,11:30,13:00
XI - C,Matematika,2025-12-9,07:30,09:00
XI - C,Bahasa Inggris,2025-12-9,09:30,11:00
XI - C,Penjasorkes,2025-12-9,11:30,13:00
XI - C,Biologi,2025-12-10,07:30,09:00
XI - C,Sejarah,2025-12-10,09:30,11:00
XI - C,Matematika Tingkat Lanjut,2025-12-10,11:30,13:00
XI - C,Prakarya dan Kewirausahaan,2025-12-11,07:30,09:00
XI - C,Bahasa Sunda,2025-12-11,09:30,11:00
XI - C,Kimia,2025-12-11,11:30,13:00
XI - C,Sejarah Tingkat Lanjut,2025-12-12,07:30,09:00
XI - C,Seni Budaya (Musik),2025-12-12,09:30,11:00
XI - D,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
XI - D,Pendidikan Pancasila,2025-12-8,09:30,11:00
XI - D,Bahasa Indonesia,2025-12-8,11:30,13:00
XI - D,Matematika,2025-12-9,07:30,09:00
XI - D,Bahasa Inggris,2025-12-9,09:30,11:00
